OrderNum,Product
1320,cheese
1320,jam
1321,jam
1321,flour
1322,bread
1323,eggs
1323,bread
1323,flour
1324,flour
1325,eggs
1325,cheese
1325,jam
1326,eggs
1326,jam
1327,eggs
1327,jam
1327,bread
1327,flour
1328,eggs
1328,bread
1329,eggs
1330,jam
1330,bread
1331,bread
1332,bread
1332,flour
1333,cheese
1333,jam
1333,bread
1334,bread
1335,bread
1335,flour
1336,eggs
1336,cheese
1336,jam
1337,bread
1337,flour
1338,jam
1339,eggs
1339,cheese
1339,bread
1340,eggs
1340,jam
1340,bread
1341,bread
1342,eggs
1342,cheese
1342,bread
1342,flour
1343,eggs
1343,jam
1343,flour
1344,bread
1345,cheese
1345,bread
1345,flour
1346,jam
1346,bread
1347,eggs
1347,jam
1347,flour
1348,eggs
1349,eggs
1349,cheese
1349,bread
1350,eggs
1350,bread
1350,flour
1351,jam
1351,bread
1352,jam
1353,eggs
1353,cheese
1353,bread
1354,eggs
1354,jam
1355,cheese
1355,bread
1355,flour
1356,cheese
1356,jam
1356,bread
1357,eggs
1357,jam
1357,bread
1358,eggs
1359,eggs
1359,bread
1359,flour
1360,bread
1360,jam
1360,flour
1361,eggs
1361,jam
1361,bread
1362,eggs
1362,bread
1363,jam
1363,bread
1364,eggs
1364,jam
1364,flour
1365,bread
1366,bread
1367,bread
1367,flour
1368,eggs
1368,bread
1368,flour
1369,cheese
1370,cheese
1371,jam
1371,bread
1372,eggs
1373,jam
1373,bread
1374,bread
1375,eggs
1375,jam
1376,eggs
1376,bread
1377,eggs
1377,jam
1377,bread
1378,eggs
1378,jam
1378,bread
1379,eggs
1380,eggs
1380,bread
1381,eggs
1381,jam
1381,bread
1381,flour
1382,cheese
1382,jam
1383,eggs
1383,bread
1384,jam
1385,cheese
1385,jam
1385,bread
1386,jam
1386,bread
1386,flour
1387,eggs
1387,bread
1387,flour
1388,bread
1389,eggs
1389,cheese
1389,jam
1389,bread
1390,bread
1391,bread
1392,eggs
1392,bread
1392,flour
1393,jam
1393,bread
1394,eggs
1394,cheese
1394,bread
1395,jam
1396,eggs
1396,bread
1397,cheese
1398,eggs
1398,jam
1398,flour
1399,eggs
1399,jam
1400,jam
1401,jam
1402,eggs
1402,jam
1402,flour
1403,jam
1403,bread
1403,flour
1404,bread
1405,jam
1406,bread
1406,flour
1407,jam
1408,cheese
1408,bread
1408,flour
1409,cheese
1410,jam
1410,bread
1411,bread
1412,bread
1413,bread
1414,eggs
1414,cheese
1414,bread
1415,bread
1416,eggs
1416,bread
1417,eggs
1417,cheese
1417,bread
1417,flour
1418,jam
1418,bread
1419,eggs
1419,jam
1419,bread
1420,eggs
1421,eggs
1421,bread
1422,jam
1422,bread
1423,eggs
1423,jam
1423,bread
1424,eggs
1424,bread
1425,jam
1425,bread
1426,eggs
1426,bread
1427,jam
1427,bread
1427,flour
1428,eggs
1428,cheese
1428,bread
1428,flour
1429,eggs
1429,cheese
1429,bread
1430,eggs
1430,bread
1431,bread
1432,eggs
1432,jam
1432,bread
1433,jam
1433,bread
1434,eggs
1434,bread
1435,eggs
1436,jam
1436,bread
1437,eggs
1437,cheese
1437,jam
1437,flour
1438,jam
1438,bread
1439,eggs
1439,bread
1439,flour
1440,eggs
1440,jam
1440,bread
1441,eggs
1441,cheese
1441,jam
1441,bread
1442,bread
1443,cheese
1443,flour
1444,cheese
1445,jam
1445,bread
1446,eggs
1446,bread
1447,jam
1447,bread
1448,eggs
1448,jam
1448,bread
1449,eggs
1449,bread
1450,eggs
1450,jam
1450,bread
1451,jam
1451,bread
1452,bread
1453,cheese
1454,jam
1454,bread
1455,eggs
1455,jam
1455,bread
1456,jam
1456,bread
1457,eggs
1457,jam
1458,bread
1459,eggs
1460,cheese
1460,bread
1460,flour
1461,eggs
1461,cheese
1461,bread
1462,eggs
1462,jam
1462,bread
1463,bread
1463,flour
1464,bread
1465,bread
1466,bread
1467,eggs
1468,jam
1468,flour
1469,eggs
1469,cheese
1469,jam
1469,bread
1470,cheese
1471,eggs
1471,bread
1472,jam
1472,bread
1472,flour
1473,eggs
1473,jam
1474,eggs
1474,bread
1474,flour
1475,jam
1475,bread
1476,bread
1477,eggs
1477,bread
1477,flour
1478,cheese
1478,jam
1478,bread
1478,flour
1479,jam
1480,eggs
1480,cheese
1480,jam
1480,bread
1481,bread
1482,eggs
1482,jam
1482,bread
1482,flour
1483,bread
1484,eggs
1485,eggs
1485,bread
1486,jam
1486,bread
1486,flour
1487,eggs
1487,jam
1487,bread
1487,flour
1488,eggs
1489,eggs
1489,jam
1489,bread
1490,eggs
1491,cheese
1491,eggs
1491,bread
1491,flour
1491,jam
1492,cheese
1492,bread
1493,eggs
1493,bread
1494,flour
1495,eggs
1495,bread
1495,flour
1496,eggs
1496,cheese
1496,bread
1497,jam
1498,bread
1499,eggs
1499,bread
